fecha,Amaluza,Mazar,Sopladora,Mazar_margen_sobre_min,Mazar_margen_bajo_max,Mazar_dentro_de_banda,Mazar_distancia_a_critico,Amaluza_margen_sobre_min,Amaluza_margen_bajo_max,Amaluza_dentro_de_banda,Sopladora_margen_sobre_min,Sopladora_margen_bajo_max,Sopladora_dentro_de_banda
2022-07-12,1990.97,2153.39,1316.06,55.39,-0.39,False,38.39,15.97,0.03,True,4.06,1.94,True
2022-07-13,1990.95,2153.41,1316.42,55.41,-0.41,False,38.41,15.95,0.05,True,4.42,1.58,True
2022-07-14,1990.87,2153.19,1316.18,55.19,-0.19,False,38.19,15.87,0.13,True,4.18,1.82,True
2022-07-15,1990.86,2152.82,1316.18,54.82,0.18,True,37.82,15.86,0.14,True,4.18,1.82,True
2022-07-16,1989.96,2153.06,1316.14,55.06,-0.06,False,38.06,14.96,1.04,True,4.14,1.86,True
2022-07-17,1989.46,2153.32,1316.18,55.32,-0.32,False,38.32,14.46,1.54,True,4.18,1.82,True
2022-07-18,1990.43,2153.33,1316.67,55.33,-0.33,False,38.33,15.43,0.57,True,4.67,1.33,True
2022-07-19,1989.8,2153.58,1316.51,55.58,-0.58,False,38.58,14.8,1.2,True,4.51,1.49,True
2022-07-20,1990.24,2153.69,1316.03,55.69,-0.69,False,38.69,15.24,0.76,True,4.03,1.97,True
2022-07-21,1990.43,2153.53,1316.79,55.53,-0.53,False,38.53,15.43,0.57,True,4.79,1.21,True
2022-07-22,1989.8,2153.58,1316.2,55.58,-0.58,False,38.58,14.8,1.2,True,4.2,1.8,True
2022-07-23,1989.5,2153.6,1316.2,55.6,-0.6,False,38.6,14.5,1.5,True,4.2,1.8,True
2022-07-24,1989.51,2153.63,1316.32,55.63,-0.63,False,38.63,14.51,1.49,True,4.32,1.68,True
2022-07-25,1989.51,2153.58,1315.76,55.58,-0.58,False,38.58,14.51,1.49,True,3.76,2.24,True
2022-07-26,1990.6,2154.07,1315.99,56.07,-1.07,False,39.07,15.6,0.4,True,3.99,2.01,True
